Название,Цена
ASUS ZenBook 13 UX333FA (UX333FA-AB77),28 316
HP Elite Dragonfly (8MK76EA),54 140
Acer Aspire 3 A315-55G-59J2 Black (NX.HEDEU.05L),14 918
Lenovo IdeaPad S340-14 (81NB007MRA),12 980
HP Pavilion Gaming 15-ec0008ur (8NF64EA),20 894
Vinga Iron S140 (S140-P508256G),9 527
Dell XPS 15 7590 (7590-0177X),"47 750,00 грн"
Acer Extensa EX215-51K-38QX (NX.EFPEU.009),10 240
Dell G7 7790 (G7790-7662GRY-PUS),37 312
HP Pavilion 15-cw1007ua (8BH53EA),"16 566,00 грн"
Dell XPS 13 7390 (X3716S3NIW-70S),59 681
Lenovo ThinkBook 13s-IML Mineral Grey (20RR001JRA),24 289
HP 15-db1167ur Black (9PT87EA),16 077
Lenovo ThinkPad X1 Extreme 2Gen (20QV00C6US),64 505
ASUS ROG Zephyrus S GX701GWR (GX701GWR-EV007T),58 186
Dell XPS 15 9560 (X5716S3NDW-63S),"27 549,00 грн"
ASUS VivoBook Flip 14 TP412UA (TP412UA-EC055T),17 408
ASUS TUF Gaming FX705DT (FX705DT-DR7N8),28 392
Acer Aspire 5 A515-52G Pure Silver (NX.H5LEU.010),14 543
ASUS VivoBook 15 X512UA (X512UA-EJ737),8 952
Lenovo IdeaPad L340-17 Gaming (81LL0005US),31 300
ASUS VivoBook 17 X712FB (X712FB-BX183),18 066
ASUS ROG Strix SCAR II GL704GW (GL704GW-PS74),49 839
